Method  RMSE    STD
ShadowDerandomization	0.040843146553371686	0.002080799001942567
ShadowBernstein	0.009477290219411141	0.0011789681771311143
ShadowBernstein-truncated	0.01099418755607726	0.0012857370911391985
Brute-force	0.012134604901074226	0.0014730024116324514
Derandomization	0.011881283270940625	0.001399277011286216
RandomPaulis	0.026809026408687132	0.003185052274420175
AdaptivePaulis	0.06040796362492064	0.006856283952410108
AEQuO-inadaptive	0.5886527295393099	0.01447924371755654
AEQuO-naive	0.011955366097297302	0.00138658316657845
ShadowAdaptive	0.011630183974503727	0.001447785153969081
OverlappedGrouping	0.011848810058142211	0.0013738976488001412
