Method  RMSE    STD
ShadowDerandomization	0.051158275794620726	0.002505677231451434
ShadowBernstein	0.052001073675792854	0.0059010256855872995
ShadowBernstein-truncated	0.05434029297663016	0.006583873306941905
Brute-force	0.046897420159706646	0.005369703360822763
Derandomization	0.05492956994458912	0.006876896271903371
RandomPaulis	0.12318627843461859	0.014816925378209979
AdaptivePaulis	0.07139663121418821	0.008032831524422152
AEQuO-inadaptive	1.4371755335082548	0.0700824144337687
AEQuO-naive	0.052359210792422006	0.006079988493119383
ShadowAdaptive	0.047159111550017396	0.005140543493758313
