Method  RMSE    STD
ShadowDerandomization	0.04025355918401941	0.0021377727221541932
ShadowBernstein	0.014954295649146252	0.0016216392622913354
ShadowBernstein-truncated	0.016122158446662167	0.001797281196286083
Brute-force	0.013129989162468247	0.0016649212677704117
Derandomization	0.015810610554383115	0.0019484800803181682
RandomPaulis	0.026087117791629547	0.00310924189489883
AdaptivePaulis	0.029468963272947856	0.003214617472654612
AEQuO-inadaptive	0.2749203981451999	0.008005067041941266
AEQuO-naive	0.011187304675375688	0.0012274467787654732
ShadowAdaptive	0.013916221625010853	0.001811274671049969
OverlappedGrouping	0.015764942208694885	0.0017339618379543218
