Method  RMSE    STD
ShadowDerandomization	0.050342985635120005	0.00272526841186336
ShadowBernstein	0.04162075340068424	0.004790799405417593
ShadowBernstein-truncated	0.03930680347128446	0.0048876706009543395
Brute-force	0.041481192481911275	0.00481211228887785
Derandomization	0.050510512033017825	0.005963205613520822
RandomPaulis	0.1143774178571378	0.013045190912632792
AdaptivePaulis	0.11769894369132546	0.014515124494100863
AEQuO-inadaptive	0.864323179660898	0.052984700735270264
AEQuO-naive	0.0449774635393959	0.005246772982099303
ShadowAdaptive	0.03839984069293116	0.004658350548538399
