Method  RMSE    STD
ShadowDerandomization	0.04053433551843686	0.002170402700454269
ShadowBernstein	0.011893735147345614	0.0014011454494203069
ShadowBernstein-truncated	0.013961389651469461	0.0015783602961429689
Brute-force	0.01263952924404457	0.0015980993185854995
Derandomization	0.01436425863797886	0.0017951687799186732
RandomPaulis	0.02834508853157463	0.003019440641436457
AdaptivePaulis	0.02997552909326123	0.003847319966053763
AEQuO-inadaptive	0.013408963999735398	0.0015642739812440493
AEQuO-naive	0.010971355024376838	0.0012517405879656363
ShadowAdaptive	0.014434075233850716	0.0016553975084357985
OverlappedGrouping	0.018143052935566333	0.0023740703875704877
