Method  RMSE    STD
ShadowDerandomization	0.05007881476699293	0.0025978212061878057
ShadowBernstein	0.04124648003306991	0.00556789356060915
ShadowBernstein-truncated	0.047613150177738164	0.00516882594451944
Brute-force	0.037414752875651006	0.0043046980892917685
Derandomization	0.0513491129105875	0.006390443794136152
RandomPaulis	0.13432303484610672	0.016139839377515015
AdaptivePaulis	0.08396210362568095	0.01049723963541527
AEQuO-inadaptive	0.701361599820724	0.050126932421459804
AEQuO-naive	0.05314051277766271	0.005925790294053928
ShadowAdaptive	0.05054916958060224	0.005771428362608547
