Method  RMSE    STD
ShadowDerandomization	0.039525753432465345	0.0018177235244646096
ShadowBernstein	0.03560707923486498	0.003984909825861684
ShadowBernstein-truncated	0.03570138529385112	0.004747139732308293
Derandomization	0.037569676837074364	0.004452187001461661
RandomPaulis	0.09177080496283203	0.009818512856708471
AdaptivePaulis	0.0665202576586091	0.007292700398840652
AEQuO-inadaptive	0.7991112947331707	0.05938430771951133
AEQuO-naive	0.0627015368563121	0.006840824618801864
ShadowAdaptive	0.03521967044840293	0.0040024872175573375
OverlappedGrouping	0.03550096420458994	0.004168360822512355
